Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
601–800,Ben-Gurion University of the NegevIsraelCourses,"16,568",20.4,3%,51 : 49,601–800,21.5–30.6,24.6,26.4,34.7,42.7,35.5,2018
601–800,Beni-Suef UniversityEgyptCourses,"69,962",32.5,1%,43 : 57,601–800,21.5–30.6,18.4,6.4,63.2,31.8,43.3,2018
601–800,Bournemouth UniversityUnited KingdomCoursesEnquire,"12,299",17.4,19%,56 : 44,601–800,21.5–30.6,18.1,15.7,40.9,32.1,77.0,2018
601–800,University of BradfordUnited KingdomCoursesEnquire,"9,636",17.0,30%,55 : 45,601–800,21.5–30.6,19.2,14.5,26.7,34.6,81.4,2018
601–800,University of BrightonUnited KingdomCoursesEnquire,"16,666",17.5,22%,57 : 43,601–800,21.5–30.6,18.2,12.5,39.3,32.7,69.6,2018
601–800,University of CagliariItalyCourses,"29,645",32.6,2%,60 : 40,601–800,21.5–30.6,20.5,6.1,62.6,34.4,36.0,2018
601–800,Capital Medical UniversityChinaCourses,"12,488",6.9,4%,69 : 31,601–800,21.5–30.6,26.4,18.9,19.0,32.4,20.5,2018
601–800,Carlos III University of MadridSpainCoursesExplore,"16,429",11.1,14%,43 : 57,601–800,21.5–30.6,24.6,15.3,33.6,36.3,56.8,2018
601–800,University of Central LancashireUnited KingdomCoursesEnquire,"16,500",15.5,18%,57 : 43,601–800,21.5–30.6,17.2,12.5,35.3,32.2,59.3,2018
601–800,Central South UniversityChinaCoursesExplore,"55,707",17.1,1%,40 : 60,601–800,21.5–30.6,23.6,23.7,26.8,68.4,16.6,2018
601–800,Chang Gung UniversityTaiwanCourses,"7,540",12.5,2%,43 : 57,601–800,21.5–30.6,22.1,25.5,29.9,41.7,19.1,2018
601–800,"University of Chemistry and Technology, PragueCzech RepublicCourses","4,210",10.0,20%,62 : 38,601–800,21.5–30.6,24.8,13.8,20.9,39.2,49.4,2018
601–800,Chiba UniversityJapanCourses,"14,002",10.1,5%,37 : 63,601–800,21.5–30.6,27.6,17.7,32.1,52.5,24.2,2018
601–800,University of ChileChileCourses,"38,848",17.2,5%,47 : 53,601–800,21.5–30.6,24.4,19.0,34.3,31.8,49.1,2018
601–800,China Agricultural UniversityChinaCourses,"18,725",11.3,2%,58 : 42,601–800,21.5–30.6,33.3,23.1,34.7,45.2,20.6,2018
601–800,"China University of Geosciences, BeijingChinaCourses","17,840",17.5,1%,33 : 67,601–800,21.5–30.6,27.7,14.5,41.8,50.7,20.6,2018
601–800,"China University of Geosciences, WuhanChinaCourses","30,585",20.3,3%,,601–800,21.5–30.6,21.6,15.2,33.5,48.0,21.8,2018
601–800,Chonnam National UniversitySouth KoreaCoursesExplore,"23,984",13.8,3%,48 : 52,601–800,21.5–30.6,20.8,14.5,31.1,36.9,24.1,2018
601–800,Chulalongkorn UniversityThailandCoursesExplore,"38,734",14.8,3%,59 : 41,601–800,21.5–30.6,27.0,14.9,18.4,73.3,34.8,2018
601–800,Comenius University in BratislavaSlovakiaCourses,"22,857",11.1,11%,66 : 34,601–800,21.5–30.6,22.6,11.9,25.3,31.8,49.1,2018
601–800,COMSATS University IslamabadPakistanCourses,"30,126",10.4,0%,24 : 76,601–800,21.5–30.6,17.5,7.4,56.8,31.8,44.3,2018
601–800,Coventry UniversityUnited KingdomCoursesExplore,"22,737",14.3,45%,48 : 52,601–800,21.5–30.6,18.6,10.1,28.7,32.3,82.0,2018
601–800,Czech Technical University in PragueCzech RepublicCourses,"21,266",13.2,16%,30 : 70,601–800,21.5–30.6,20.2,17.3,28.5,39.3,45.3,2018
601–800,Dalian University of TechnologyChinaCourses,"38,678",16.6,2%,35 : 65,601–800,21.5–30.6,23.3,21.3,32.6,82.9,23.1,2018
601–800,University of DaytonUnited StatesCoursesEnquire,"10,502",15.2,15%,48 : 52,601–800,21.5–30.6,30.2,15.1,22.3,37.8,33.0,2018
601–800,University of DelhiIndiaCourses,"22,107",23.1,1%,49 : 51,601–800,21.5–30.6,40.2,17.6,23.1,31.9,18.4,2018
601–800,De Montfort UniversityUnited KingdomCoursesEnquire,"15,880",18.8,25%,58 : 42,601–800,21.5–30.6,18.9,13.6,31.9,31.9,65.5,2018
601–800,Dublin Institute of TechnologyIrelandCourses,"14,544",19.5,26%,41 : 59,601–800,21.5–30.6,17.0,10.7,34.6,33.5,77.5,2018
601–800,East China University of Science and TechnologyChinaCourses,"24,207",17.4,6%,41 : 59,601–800,21.5–30.6,20.9,17.2,45.9,83.8,30.6,2018
601–800,Eastern Mediterranean UniversityNorthern CyprusCoursesExplore,"19,069",32.5,84%,37 : 63,601–800,21.5–30.6,18.0,16.3,36.1,79.5,80.9,2018
601–800,University of East LondonUnited KingdomCoursesEnquire,"11,857",20.2,33%,61 : 39,601–800,21.5–30.6,22.4,13.1,18.2,31.8,77.3,2018
601–800,École Centrale de LyonFranceCourses,"1,871",15.2,22%,25 : 75,601–800,21.5–30.6,29.2,15.0,33.9,71.4,61.9,2018
601–800,École normale supérieure Paris-SaclayFranceCourses,"1,631",10.5,15%,30 : 70,601–800,21.5–30.6,31.3,10.6,42.2,45.0,55.3,2018
601–800,Edinburgh Napier UniversityUnited KingdomCourses,"10,953",20.3,32%,56 : 44,601–800,21.5–30.6,17.0,10.9,30.4,34.2,77.1,2018
601–800,Embry-Riddle Aeronautical UniversityUnited StatesCoursesEnquire,"15,514",15.3,11%,17 : 83,601–800,21.5–30.6,16.6,7.4,63.6,31.9,27.6,2018
601–800,Eötvös Loránd UniversityHungaryCoursesExplore,"23,558",14.8,7%,63 : 37,601–800,21.5–30.6,21.1,12.6,42.2,32.4,47.0,2018
601–800,Universidade Federal do ABC (UFABC)BrazilCourses,"12,467",20.3,1%,31 : 69,601–800,21.5–30.6,29.2,12.1,29.3,34.5,32.8,2018
601–800,Federal University of ItajubáBrazilCourses,"7,559",15.3,1%,29 : 71,601–800,21.5–30.6,29.5,20.4,11.8,100.0,19.6,2018
601–800,Federal University of Minas GeraisBrazilCourses,"45,138",14.5,2%,53 : 47,601–800,21.5–30.6,29.3,14.5,30.8,34.3,24.8,2018
601–800,Federal University of Rio de JaneiroBrazilCourses,"54,989",14.0,2%,54 : 46,601–800,21.5–30.6,30.2,19.8,23.2,40.5,28.3,2018
601–800,Universidade Federal do Rio Grande do SulBrazilCourses,"39,588",14.4,1%,47 : 53,601–800,21.5–30.6,30.0,9.0,30.7,6.1,23.5,2018
601–800,Florida Atlantic UniversityUnited StatesCoursesEnquire,"17,330",15.8,10%,59 : 41,601–800,21.5–30.6,19.0,12.9,40.6,1.7,45.5,2018
601–800,Florida Institute of TechnologyUnited StatesCoursesEnquire,"5,343",14.6,35%,33 : 67,601–800,21.5–30.6,22.4,12.7,26.1,34.7,59.7,2018
601–800,Fuzhou UniversityChinaCourses,"35,901",17.7,1%,42 : 58,601–800,21.5–30.6,17.5,10.2,54.0,42.1,20.0,2018
601–800,Gebze Technical UniversityTurkeyCourses,"5,781",23.1,2%,34 : 66,601–800,21.5–30.6,19.8,10.4,34.7,33.4,26.6,2018
601–800,Glasgow Caledonian UniversityUnited KingdomCoursesEnquire,"13,826",21.9,19%,59 : 41,601–800,21.5–30.6,17.1,10.9,42.9,32.7,59.9,2018
601–800,University of GreenwichUnited KingdomCoursesEnquire,"14,678",18.7,35%,55 : 45,601–800,21.5–30.6,17.1,12.3,40.1,33.2,84.7,2018
601–800,Hacettepe UniversityTurkeyCourses,"39,181",18.3,5%,57 : 43,601–800,21.5–30.6,28.2,10.7,42.9,33.8,23.6,2018
601–800,University of HaifaIsraelCourses,"17,917",30.7,2%,66 : 34,601–800,21.5–30.6,24.9,30.0,34.3,33.8,35.9,2018
601–800,Hiroshima UniversityJapanCourses,"14,769",8.3,6%,36 : 64,601–800,21.5–30.6,29.7,19.6,39.0,48.9,26.8,2018
601–800,Huazhong Agricultural UniversityChinaCourses,"25,619",17.6,1%,53 : 47,601–800,21.5–30.6,26.8,12.9,48.0,39.8,18.5,2018
601–800,University of HuddersfieldUnited KingdomCoursesEnquire,"15,154",22.5,26%,56 : 44,601–800,21.5–30.6,20.5,16.3,26.5,33.5,66.0,2018
601–800,Hunan UniversityChinaCourses,"42,004",22.2,2%,45 : 55,601–800,21.5–30.6,20.5,19.6,42.2,51.3,18.3,2018
601–800,Indian Institute of Technology GuwahatiIndiaCourses,"5,419",13.4,1%,15 : 85,601–800,21.5–30.6,24.8,19.2,46.4,36.1,15.1,2018
601–800,Indian Institute of Technology (Indian School of Mines) DhanbadIndiaCourses,"6,692",24.6,1%,15 : 85,601–800,21.5–30.6,22.8,11.9,43.1,49.7,13.2,2018
601–800,Indian Institute of Technology MadrasIndiaCourses,"9,033",14.9,0%,19 : 81,601–800,21.5–30.6,36.9,22.1,29.2,71.5,18.2,2018
601–800,Inha UniversitySouth KoreaCourses,"19,921",23.8,3%,38 : 62,601–800,21.5–30.6,23.0,19.5,23.1,66.3,27.1,2018
601–800,Iran University of Science and TechnologyIranCourses,"13,206",31.7,0%,30 : 70,601–800,21.5–30.6,25.5,24.7,36.3,51.2,15.1,2018
601–800,ISCTE-University Institute of LisbonPortugalCourses,"8,699",22.8,12%,50 : 50,601–800,21.5–30.6,24.6,24.7,17.5,33.5,46.6,2018
601–800,Isfahan University of TechnologyIranCourses,"9,323",19.8,1%,42 : 58,601–800,21.5–30.6,21.4,20.5,41.8,84.1,20.1,2018
601–800,Istanbul Technical UniversityTurkeyCourses,"36,061",16.9,4%,34 : 66,601–800,21.5–30.6,22.5,24.2,33.5,100.0,25.6,2018
601–800,Jadavpur UniversityIndiaCourses,"11,011",17.6,0%,31 : 69,601–800,21.5–30.6,33.3,18.5,33.3,38.6,14.9,2018
601–800,University of JaénSpainCourses,"16,894",20.5,8%,55 : 45,601–800,21.5–30.6,16.7,11.7,39.8,34.2,32.2,2018
601–800,Jagiellonian UniversityPolandCourses,"42,594",11.8,6%,67 : 33,601–800,21.5–30.6,23.1,14.2,37.9,32.7,34.3,2018
601–800,Jeonbuk National UniversitySouth KoreaCoursesExplore,"23,728",20.7,3%,44 : 56,601–800,21.5–30.6,21.6,18.7,26.0,37.2,28.3,2018
601–800,University of JohannesburgSouth AfricaCoursesExplore,"28,122",27.4,7%,55 : 45,601–800,21.5–30.6,19.3,23.5,36.3,42.7,55.6,2018
601–800,Juntendo UniversityJapanCourses,"4,246",3.7,1%,52 : 48,601–800,21.5–30.6,32.2,12.4,27.9,48.5,20.1,2018
601–800,Kagawa UniversityJapanCourses,"6,453",9.6,2%,41 : 59,601–800,21.5–30.6,21.6,11.1,33.1,36.9,27.9,2018
601–800,Kanazawa UniversityJapanCourses,"10,464",10.4,5%,36 : 64,601–800,21.5–30.6,27.4,16.7,31.7,33.8,21.5,2018
601–800,Kansas State UniversityUnited StatesCoursesEnquire,"22,017",14.7,11%,50 : 50,601–800,21.5–30.6,24.3,17.8,44.1,41.5,45.1,2018
601–800,Kaohsiung Medical UniversityTaiwanCourses,"6,894",12.2,6%,56 : 44,601–800,21.5–30.6,20.2,19.1,28.1,50.2,24.4,2018
601–800,Universiti Kebangsaan MalaysiaMalaysiaCourses,"19,353",11.8,12%,70 : 30,601–800,21.5–30.6,30.5,21.4,11.0,34.1,39.1,2018
601–800,Keio UniversityJapanCourses,"34,689",11.1,7%,34 : 66,601–800,21.5–30.6,31.6,23.2,33.1,40.1,27.5,2018
601–800,King Mongkut’s University of Technology ThonburiThailandCourses,"16,413",22.0,1%,46 : 54,601–800,21.5–30.6,18.0,10.6,42.3,98.0,30.1,2018
601–800,Kingston UniversityUnited KingdomCoursesEnquire,"17,342",21.5,36%,55 : 45,601–800,21.5–30.6,18.8,15.6,26.4,32.2,80.2,2018
601–800,K.N. Toosi University of TechnologyIranCourses,"7,079",23.0,0%,33 : 67,601–800,21.5–30.6,19.4,18.5,27.0,47.4,16.7,2018
601–800,Kobe UniversityJapanCourses,"15,751",7.8,7%,34 : 66,601–800,21.5–30.6,30.3,19.3,26.5,38.9,24.8,2018
601–800,Kochi UniversityJapanCourses,"5,584",8.4,1%,46 : 54,601–800,21.5–30.6,20.1,9.4,36.0,37.6,25.8,2018
601–800,Kumamoto UniversityJapanCourses,"10,214",7.8,6%,37 : 63,601–800,21.5–30.6,24.8,13.6,24.9,43.8,26.4,2018
601–800,Kuwait UniversityKuwaitCourses,"37,752",24.0,13%,72 : 28,601–800,21.5–30.6,19.1,8.8,27.1,35.3,70.8,2018
601–800,Kyungpook National UniversitySouth KoreaCoursesExplore,"27,162",18.2,4%,42 : 58,601–800,21.5–30.6,22.1,19.6,22.9,39.0,24.5,2018
601–800,University of La LagunaSpainCourses,"20,248",14.0,4%,57 : 43,601–800,21.5–30.6,18.1,9.7,57.5,32.4,46.6,2018
601–800,Leeds Beckett UniversityUnited KingdomCoursesEnquire,"20,122",20.8,14%,50 : 50,601–800,21.5–30.6,16.8,11.1,39.5,32.2,46.8,2018
601–800,University of LincolnUnited KingdomCourses,"10,874",16.0,16%,56 : 44,601–800,21.5–30.6,17.0,12.1,30.1,32.8,65.5,2018
601–800,University of LjubljanaSloveniaCourses,"42,922",15.8,4%,60 : 40,601–800,21.5–30.6,25.7,16.1,35.8,35.6,38.5,2018
601–800,Manchester Metropolitan UniversityUnited KingdomCoursesEnquire,"26,686",15.3,15%,58 : 42,601–800,21.5–30.6,19.1,11.8,29.9,32.0,59.4,2018
601–800,University of MariborSloveniaCourses,"13,197",15.4,4%,54 : 46,601–800,21.5–30.6,18.9,15.3,49.0,39.2,36.7,2018
601–800,Marquette UniversityUnited StatesCoursesEnquire,"10,664",12.4,5%,52 : 48,601–800,21.5–30.6,35.1,12.7,30.0,34.6,22.0,2018
601–800,Middle East Technical UniversityTurkeyCourses,"26,739",26.3,7%,44 : 56,601–800,21.5–30.6,28.6,20.6,31.9,61.2,29.4,2018
601–800,University of MinhoPortugalCourses,"18,257",18.4,10%,54 : 46,601–800,21.5–30.6,23.2,22.8,35.8,67.6,47.3,2018
601–800,Mississippi State UniversityUnited StatesCoursesEnquire,"38,420",28.6,4%,50 : 50,601–800,21.5–30.6,19.0,15.8,42.9,34.9,23.1,2018
601–800,Monterrey Institute of TechnologyMexicoCoursesExplore,"14,003",17.2,13%,40 : 60,601–800,21.5–30.6,24.3,14.8,31.9,80.1,65.4,2018
601–800,University of MurciaSpainCoursesExplore,"30,623",15.3,6%,61 : 39,601–800,21.5–30.6,20.1,12.4,32.1,33.0,34.7,2018
601–800,Nagoya City UniversityJapanCourses,"4,317",8.0,3%,52 : 48,601–800,21.5–30.6,23.1,12.5,32.2,42.8,19.5,2018
601–800,Nanjing Agricultural UniversityChinaCourses,"26,301",16.1,1%,56 : 44,601–800,21.5–30.6,23.0,16.2,43.1,42.9,18.0,2018
601–800,Nanjing Medical UniversityChinaCourses,"12,783",9.1,5%,,601–800,21.5–30.6,24.9,22.6,37.6,32.8,19.5,2018
601–800,Nanjing Normal UniversityChinaCourses,"26,714",14.6,3%,68 : 32,601–800,21.5–30.6,19.9,10.2,40.2,47.3,18.4,2018
601–800,Nanjing Tech UniversityChinaCourses,"30,098",17.9,1%,,601–800,21.5–30.6,17.7,12.0,39.4,62.0,18.0,2018
601–800,National Autonomous University of MexicoMexicoCourses,"145,024",12.1,6%,51 : 49,601–800,21.5–30.6,34.4,29.4,19.4,57.3,39.3,2018
601–800,National Central UniversityTaiwanCourses,"10,859",9.5,10%,34 : 66,601–800,21.5–30.6,25.0,23.3,20.9,67.2,35.1,2018
601–800,National Chengchi UniversityTaiwanCourses,"15,555",16.9,13%,59 : 41,601–800,21.5–30.6,23.0,24.5,11.5,34.0,42.8,2018
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)FranceCourses,"6,029",8.5,30%,32 : 68,601–800,21.5–30.6,25.7,12.6,39.0,62.8,75.3,2018
601–800,National Institute of Technology RourkelaIndiaCourses,"5,746",19.1,4%,25 : 75,601–800,21.5–30.6,25.3,13.9,47.4,33.3,15.5,2018
601–800,National University of Science and Technology (MISiS)Russian FederationCourses,"7,236",9.2,24%,41 : 59,601–800,21.5–30.6,22.0,20.1,24.2,60.1,56.3,2018
601–800,National University of Sciences and TechnologyPakistanCourses,"10,373",8.0,3%,33 : 67,601–800,21.5–30.6,20.3,8.7,39.9,32.6,37.0,2018
601–800,National Sun Yat-Sen UniversityTaiwanCourses,"9,013",15.7,5%,37 : 63,601–800,21.5–30.6,24.4,28.1,26.4,46.8,27.9,2018
601–800,National Yang-Ming UniversityTaiwanCourses,"4,255",5.0,2%,48 : 52,601–800,21.5–30.6,37.8,18.0,37.7,34.8,18.6,2018
601–800,New Mexico State University (Main campus)United StatesCoursesEnquire,"13,670",16.7,8%,53 : 47,601–800,21.5–30.6,22.8,9.0,57.7,36.4,35.2,2018
601–800,University of North Carolina at GreensboroUnited StatesCoursesEnquire,"17,774",23.9,3%,66 : 34,601–800,21.5–30.6,22.9,20.2,41.0,33.0,19.1,2018
601–800,Northeast Normal UniversityChinaCourses,"24,802",15.6,1%,64 : 36,601–800,21.5–30.6,22.7,5.8,51.2,33.5,16.4,2018
601–800,University of Northern British Columbia (UNBC)CanadaCoursesEnquire,"2,752",11.4,10%,60 : 40,601–800,21.5–30.6,20.2,13.1,34.6,36.6,38.9,2018
601–800,Northwestern Polytechnical UniversityChinaCoursesExplore,"26,904",14.2,3%,26 : 74,601–800,21.5–30.6,23.9,29.7,17.2,76.4,18.4,2018
601–800,Nottingham Trent UniversityUnited KingdomCoursesEnquire,"23,045",16.9,18%,56 : 44,601–800,21.5–30.6,18.3,11.4,35.1,32.0,60.0,2018
601–800,Okayama UniversityJapanCourses,"13,115",7.9,4%,38 : 62,601–800,21.5–30.6,25.4,15.4,26.4,45.9,22.5,2018
601–800,Old Dominion UniversityUnited StatesCoursesEnquire,"19,148",19.7,3%,54 : 46,601–800,21.5–30.6,24.2,18.2,51.0,1.7,28.8,2018
601–800,Osaka City UniversityJapanCourses,"8,386",9.1,4%,36 : 64,601–800,21.5–30.6,25.2,13.9,26.0,38.7,22.4,2018
601–800,Otto von Guericke University of MagdeburgGermanyCourses,"14,248",12.2,14%,42 : 58,601–800,21.5–30.6,23.4,12.8,47.3,41.6,52.9,2018
601–800,University of OviedoSpainCourses,"23,806",13.4,2%,47 : 53,601–800,21.5–30.6,27.0,13.5,49.1,34.1,31.9,2018
601–800,Palacký University OlomoucCzech RepublicCourses,"18,332",11.4,10%,69 : 31,601–800,21.5–30.6,19.3,12.2,45.0,32.5,54.6,2018
601–800,Panjab UniversityIndiaCourses,"17,046",22.6,1%,46 : 54,601–800,21.5–30.6,27.1,8.6,55.5,31.8,16.0,2018
601–800,University of PatrasGreeceCourses,"24,989",33.9,5%,49 : 51,601–800,21.5–30.6,19.1,12.4,37.2,45.1,35.7,2018
601–800,University of PécsHungaryCoursesExplore,"16,396",12.6,17%,57 : 43,601–800,21.5–30.6,19.4,10.1,39.3,46.9,55.3,2018
601–800,Peter the Great St Petersburg Polytechnic UniversityRussian FederationCoursesExplore,"16,775",6.8,20%,43 : 57,601–800,21.5–30.6,28.5,14.8,27.3,53.0,48.8,2018
601–800,University of the PhilippinesPhilippinesCourses,"51,086",11.2,1%,61 : 39,601–800,21.5–30.6,20.5,10.0,40.0,32.6,39.8,2018
601–800,Pontifical Catholic University of PeruPeruCourses,"27,013",17.0,3%,48 : 52,601–800,21.5–30.6,15.4,5.2,40.6,31.7,51.3,2018
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)BrazilCourses,"15,638",22.0,3%,51 : 49,601–800,21.5–30.6,27.5,23.1,21.5,99.8,40.3,2018
601–800,Portland State UniversityUnited StatesCoursesEnquire,"21,207",15.9,9%,54 : 46,601–800,21.5–30.6,20.4,15.4,49.4,39.6,32.0,2018
601–800,University of PretoriaSouth AfricaCoursesExplore,"36,005",24.1,8%,56 : 44,601–800,21.5–30.6,25.7,26.5,29.3,63.5,49.9,2018
601–800,Pusan National UniversitySouth KoreaCoursesExplore,"25,464",19.7,11%,46 : 54,601–800,21.5–30.6,27.1,27.9,28.8,63.1,34.9,2018
601–800,Universiti Putra MalaysiaMalaysiaCourses,"25,929",12.9,18%,44 : 56,601–800,21.5–30.6,26.6,23.7,17.2,36.0,61.1,2018
601–800,University of ReginaCanadaCoursesExplore,"12,178",22.2,15%,60 : 40,601–800,21.5–30.6,16.9,6.2,42.5,32.5,51.2,2018
601–800,University Rey Juan CarlosSpainCourses,"33,849",26.5,11%,57 : 43,601–800,21.5–30.6,18.8,10.3,37.3,34.6,42.8,2018
601–800,Rochester Institute of TechnologyUnited StatesCoursesEnquire,"13,784",16.2,17%,35 : 65,601–800,21.5–30.6,20.1,17.7,41.2,33.6,37.9,2018
601–800,University of RoehamptonUnited KingdomCoursesEnquire,"7,169",17.6,28%,73 : 27,601–800,21.5–30.6,18.8,19.2,16.2,32.1,72.0,2018
601–800,Universiti Sains MalaysiaMalaysiaCourses,"25,975",12.9,8%,63 : 37,601–800,21.5–30.6,32.2,17.7,15.0,38.4,45.8,2018
601–800,University of SalamancaSpainCourses,"30,943",18.5,14%,58 : 42,601–800,21.5–30.6,24.8,13.7,35.5,33.5,47.7,2018
601–800,University of SalfordUnited KingdomCoursesEnquire,"15,790",16.6,26%,52 : 48,601–800,21.5–30.6,21.2,14.3,22.0,32.6,69.9,2018
601–800,Samara State Aerospace UniversityRussian FederationCourses,"6,314",9.0,6%,,601–800,21.5–30.6,33.6,10.4,34.9,51.3,19.4,2018
601–800,University of Santiago de CompostelaSpainCourses,"27,573",15.9,8%,62 : 38,601–800,21.5–30.6,20.9,15.0,48.2,35.2,44.2,2018
601–800,Universidade Estadual Paulista (Unesp)BrazilCourses,"44,059",13.3,3%,49 : 51,601–800,21.5–30.6,33.7,21.6,12.7,33.1,22.2,2018
601–800,Savitribai Phule Pune UniversityIndiaCourses,"6,155",15.9,3%,41 : 59,601–800,21.5–30.6,38.9,7.2,21.6,34.4,18.3,2018
601–800,University of Science and Technology BeijingChinaCourses,"24,384",15.8,3%,36 : 64,601–800,21.5–30.6,25.6,22.2,16.0,60.1,17.4,2018
601–800,University of SeoulSouth KoreaCourses,"8,902",17.0,5%,35 : 65,601–800,21.5–30.6,24.9,15.5,22.2,33.9,25.0,2018
601–800,University of SevilleSpainCourses,"54,413",18.5,2%,49 : 51,601–800,21.5–30.6,20.9,15.4,35.7,42.8,34.7,2018
601–800,Shanghai UniversityChinaCourses,"36,461",13.5,5%,46 : 54,601–800,21.5–30.6,20.6,15.9,25.5,45.7,23.5,2018
601–800,Shantou UniversityChinaCourses,"9,857",12.0,0%,50 : 50,601–800,21.5–30.6,18.6,10.5,38.3,34.2,33.6,2018
601–800,Sharif University of TechnologyIranCourses,"11,228",17.9,0%,26 : 74,601–800,21.5–30.6,25.5,26.5,36.7,96.4,19.6,2018
601–800,Sichuan UniversityChinaCourses,"60,848",13.9,4%,50 : 50,601–800,21.5–30.6,30.6,24.5,25.2,71.2,20.7,2018
601–800,Sogang UniversitySouth KoreaCourses,"9,440",21.5,7%,43 : 57,601–800,21.5–30.6,27.2,28.3,25.4,48.7,28.6,2018
601–800,University of Southern QueenslandAustraliaCourses,"11,921",25.9,19%,57 : 43,601–800,21.5–30.6,21.9,16.5,26.0,33.1,69.1,2018
601–800,University of South WalesUnited KingdomCoursesEnquire,"17,332",17.0,19%,51 : 49,601–800,21.5–30.6,16.5,9.0,38.5,32.3,61.1,2018
601–800,Suranaree University of TechnologyThailandCourses,"14,107",32.6,1%,54 : 46,601–800,21.5–30.6,21.9,10.1,33.6,40.6,32.2,2018
601–800,University of SzegedHungaryCourses,"20,864",13.1,12%,57 : 43,601–800,21.5–30.6,20.4,10.8,34.0,35.4,51.7,2018
601–800,University of TabrizIranCourses,"22,421",30.2,0%,51 : 49,601–800,21.5–30.6,25.0,14.6,35.2,41.2,16.0,2018
601–800,Taipei Medical UniversityTaiwanCoursesExplore,"5,929",12.1,7%,57 : 43,601–800,21.5–30.6,25.2,26.4,32.1,99.6,31.4,2018
601–800,Tallinn University of TechnologyEstoniaCourses,"10,921",21.2,10%,52 : 48,601–800,21.5–30.6,17.9,11.8,34.9,45.5,50.7,2018
601–800,Technical University of MadridSpainCourses,"40,371",13.6,12%,32 : 68,601–800,21.5–30.6,23.8,13.6,34.8,43.0,45.0,2018
601–800,University of Technology of CompiègneFranceCourses,"4,321",15.4,24%,36 : 64,601–800,21.5–30.6,23.0,9.5,41.6,38.1,79.1,2018
601–800,Teesside UniversityUnited KingdomCoursesEnquire,"11,095",18.1,12%,56 : 44,601–800,21.5–30.6,16.5,9.3,38.6,32.0,48.0,2018
601–800,University of TehranIranCourses,"59,457",29.4,2%,43 : 57,601–800,21.5–30.6,31.1,21.7,28.2,31.7,21.4,2018
601–800,Tehran University of Medical SciencesIranCourses,"12,668",7.6,3%,60 : 40,601–800,21.5–30.6,44.2,14.0,21.4,35.6,17.7,2018
601–800,Universiti Teknologi MalaysiaMalaysiaCourses,"18,214",10.5,14%,52 : 48,601–800,21.5–30.6,31.1,20.4,22.7,38.6,51.1,2018
601–800,Universiti Teknologi PetronasMalaysiaCourses,"5,875",15.3,22%,34 : 66,601–800,21.5–30.6,22.4,23.4,16.1,87.5,63.6,2018
601–800,University of Texas at El PasoUnited StatesCoursesEnquire,"16,595",23.8,7%,53 : 47,601–800,21.5–30.6,20.9,20.6,33.9,31.7,35.7,2018
601–800,Tezpur UniversityIndiaCourses,"3,611",13.8,0%,40 : 60,601–800,21.5–30.6,31.4,26.1,36.6,31.9,13.2,2018
601–800,Tokyo University of Agriculture and TechnologyJapanCourses,"5,797",14.8,6%,28 : 72,601–800,21.5–30.6,26.1,22.6,21.3,44.1,23.4,2018
601–800,Tokyo University of ScienceJapanCoursesExplore,"19,791",25.1,1%,20 : 80,601–800,21.5–30.6,23.2,24.9,21.7,37.4,18.0,2018
601–800,University of VigoSpainCourses,"19,472",16.6,6%,50 : 50,601–800,21.5–30.6,19.4,12.2,32.2,35.7,40.3,2018
601–800,Vilnius UniversityLithuaniaCourses,"17,364",12.3,6%,61 : 39,601–800,21.5–30.6,20.1,13.5,35.6,40.0,47.9,2018
601–800,Warsaw University of TechnologyPolandCourses,"31,101",13.0,5%,37 : 63,601–800,21.5–30.6,19.9,9.8,44.1,36.2,23.4,2018
601–800,Waseda UniversityJapanCourses,"49,840",15.8,8%,36 : 64,601–800,21.5–30.6,31.0,22.1,31.3,35.6,34.2,2018
601–800,University of the West of EnglandUnited KingdomCoursesEnquire,"20,468",18.3,19%,53 : 47,601–800,21.5–30.6,17.0,14.0,32.6,32.4,57.5,2018
601–800,University of the Western CapeSouth AfricaCourses,"20,382",31.6,9%,60 : 40,601–800,21.5–30.6,18.8,17.6,35.9,33.3,60.8,2018
601–800,University of WestminsterUnited KingdomCoursesEnquire,"17,040",20.1,46%,59 : 41,601–800,21.5–30.6,19.8,15.0,32.2,32.1,82.2,2018
601–800,University of WindsorCanadaCoursesEnquire,"15,227",19.1,17%,52 : 48,601–800,21.5–30.6,19.3,15.0,26.6,34.9,50.8,2018
601–800,Yeungnam UniversitySouth KoreaCourses,"20,532",14.7,4%,49 : 51,601–800,21.5–30.6,19.1,11.7,37.3,39.4,32.2,2018
601–800,Yokohama City UniversityJapanCourses,"4,889",3.5,2%,55 : 45,601–800,21.5–30.6,26.2,6.5,37.8,37.5,19.1,2018
601–800,University of ZaragozaSpainCourses,"29,924",11.2,6%,55 : 45,601–800,21.5–30.6,20.5,12.3,50.8,37.1,37.6,2018
801–1000,University of A CoruñaSpainCourses,"15,735",11.9,2%,51 : 49,801–1000,15.6–21.4,19.1,11.2,23.7,34.3,30.6,2018
