Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
11,Imperial College London United Kingdom,"17,176",11.6,58%,39 : 61,89.4,82.3,88.2,97.2,69.6,97.4,2021,United Kingdom
12,Johns Hopkins University United States,"16,432",4.4,27%,52:48:00,89.2,81.6,91.8,97.7,93.4,73.9,2021,United States
13,University of Pennsylvania United States,"20,771",6.4,21%,52:48:00,88.9,85.4,89.9,98.1,77.9,66.3,2021,United States
14,E T H Zurich Switzerland,"19,632",13.1,40%,32 : 68,87.9,80.4,92.3,90.5,62.8,98,2021,Switzerland
15,"University of California, Los Angeles United States","41,673",10,17%,55:45:00,87.1,82.5,90.2,96.5,57.6,65.3,2021,United States
16,U C L United Kingdom,"34,590",10.8,55%,57:43:00,86.9,76.6,89.4,96.2,42.1,96.5,2021,United Kingdom
17,Columbia University United States,"27,384",5.7,39%,,86.8,85.1,82.9,97.7,45,79.8,2021,United States
18,University of Toronto Canada,"74,502",20,22%,59:41:00,86,75.4,90.9,94.5,50,87.2,2021,Canada
19,Cornell University United States,"23,016",10.2,25%,50:50:00,85.3,78.8,86.7,97.2,36.3,73.7,2021,United States
20,Duke University United States,"15,489",4.3,21%,49:51:00,84.8,80.7,80.4,96.9,99.7,65.5,2021,United States
21,Tsinghua University China,"37,484",11.6,13%,34 : 66,84.8,87.7,94.9,78.8,100,51.1,2021,China
22,University of Michigan- Ann Arbor United States,"43,873",8.3,17%,50:50:00,84,79,86.9,95.4,47.2,59.6,2021,United States
23,Peking University China,"38,583",11.1,16%,43:57:00,83.9,89.6,91.3,75.4,96.3,61.2,2021,China
24,Northwestern University United States,"18,529",13,19%,49:51:00,83.6,74.9,83.6,98.2,69.9,64.5,2021,United States
25,National University of Singapore Singapore,"30,943",18,26%,50:50:00,83.5,75.9,90.8,81.5,77.8,94.8,2021,Singapore
26,New York University United States,"44,474",8.8,34%,57:43:00,81.9,76.1,80.6,96,37.3,69.6,2021,United States
27,London School of Economics and Political Science United Kingdom,"10,660",12,72%,54:46:00,81.4,68.5,82.5,94.3,34.1,92.8,2021,United Kingdom
28,Carnegie Mellon University United States,"14,058",13.7,48%,43:57:00,81,65.1,81.3,98.9,53.3,80.5,2021,United States
29,University of Washington United States,"46,258",10.7,17%,53:47:00,80.4,69.8,80.5,98.7,45.6,60.9,2021,United States
30,University of Edinburgh United Kingdom,"30,649",12.1,42%,60:40:00,79.4,67.2,74.7,96,38.7,94.6,2021,United Kingdom
31,University of Melbourne Australia,"50,094",27,48%,57:43:00,78.9,67.1,76.3,90.1,74.2,93.9,2021,Australia
32,L M U Munich Germany,"34,249",33.6,17%,61:39:00,78.2,68.7,78.7,87.9,100,68.1,2021,Germany
33,"University of California, San Diego United States","34,232",12,30%,47:53:00,77.7,60.3,80.4,94.3,95.6,64.4,2021,United States
34,University of British Columbia Canada,"53,123",18.7,32%,55:45:00,76.4,62.1,75.1,90,44.7,94.7,2021,Canada
35,King’s College London United Kingdom,"27,400",12.4,46%,62:38:00,76.1,57.3,72.4,96.6,43.6,95.4,2021,United Kingdom
36,Karolinska Institute Sweden,"7,696",8.8,26%,68:32:00,76,57.6,72.2,95.8,71.4,87.3,2021,Sweden
37,The University of Tokyo Japan,"25,935",10.6,13%,,76,87.9,90.7,57.7,82.6,40.1,2021,Japan
38,Georgia Institute of Technology United States,"26,043",23.6,27%,33 : 67,75.8,59.5,76.8,91.1,65.8,78.9,2021,United States
39,University of Hong Kong Hong Kong,"18,135",18.2,43%,54:46:00,75.2,67.5,73.3,80.3,57.4,99,2021,Hong Kong
40,Mc Gill University Canada,"31,578",12.8,31%,59:41:00,75.1,64.2,73.4,86.4,43.7,91.3,2021,Canada
41,Technical University of Munich Germany,"32,377",39.8,31%,36 : 64,74.8,63.8,73.6,85,100,74.4,2021,Germany
42,Heidelberg University Germany,"20,020",14.5,18%,54:46:00,74.3,67.5,61.7,96.6,56.9,68.4,2021,Germany
43,École Polytechnique Fédérale de Lausanne Switzerland,"10,942",12.2,60%,29 : 71,74.1,63.9,66.7,85.8,73.3,98.5,2021,Switzerland
44,University of Texas at Austin United States,"49,510",16.9,10%,52:48:00,74,67.9,74.8,90.5,46.2,39.4,2021,United States
45,K U Leuven Belgium,"45,617",36.1,15%,50:50:00,73.7,58.7,74.4,86.1,97.2,72.7,2021,Belgium
46,Paris Sciences et Lettres – P S L Research University Paris France,"20,701",14.7,24%,46:54:00,73.6,71.2,73,75.9,61.7,80.6,2021,France
47,"Nanyang Technological University, Singapore Singapore","23,902",14.8,25%,48:52:00,72.7,57.1,71.9,83,83.2,94,2021,Singapore
48,University of Illinois at Urbana- Champaign United States,"45,980",17.8,24%,48:52:00,72.3,62.5,79.1,81.3,49.5,55.1,2021,United States
49,University of Wisconsin- Madison United States,"39,451",9.8,13%,,71.4,68.2,71.4,82.5,45,48.4,2021,United States
50,Washington University in St Louis United States,"13,693",7.5,21%,,71.1,61.2,58.7,99,40.4,59.1,2021,United States
51,University of Manchester United Kingdom,"36,557",14.4,41%,53:47:00,70.9,57.1,66.5,85.6,49.2,91.7,2021,United Kingdom
52,University of Sydney Australia,"46,453",19.4,43%,58:42:00,70.9,51.3,64.4,92.3,69.3,90,2021,Australia
53,University of Southern California United States,"41,953",13,23%,49:51:00,70.4,63.8,58.4,93.1,39.2,64.9,2021,United States
54,Boston University United States,"26,510",11.1,28%,59:41:00,70.3,58.9,60.9,94.9,41.7,64.9,2021,United States
55,Kyoto University Japan,"22,935",9.3,11%,25 : 75,70.3,77.9,79.9,60.8,74.6,37.8,2021,Japan
56,Chinese University of Hong Kong Hong Kong,"18,675",19.3,33%,,70.1,55.7,59.1,89.4,58.6,98.3,2021,Hong Kong
57,The Hong Kong University of Science and Technology Hong Kong,"9,976",21.6,30%,,70.1,52.1,63,88.9,63.6,97.4,2021,Hong Kong
58,University of North Carolina at Chapel Hill United States,"30,956",8.2,8%,58:42:00,70.1,60.6,63.3,96.3,42.5,39.7,2021,United States
59,Australian National University Australia,"18,801",17.8,47%,53:47:00,69.8,48.5,68.3,88.4,43,96.2,2021,Australia
60,Seoul National University South Korea,"26,757",15.1,11%,,69.7,72.4,73.8,68.8,97.8,37.4,2021,South Korea
61,Brown University United States,"9,695",10.8,20%,,69.5,62.4,56.6,94,36.1,62.3,2021,United States
62,The University of Queensland Australia,"40,389",35.5,38%,55:45:00,69.4,54.3,61,85.9,81,93,2021,Australia
63,Wageningen University & Research Netherlands,"14,356",21,27%,54:46:00,69.4,48.2,56.4,97.3,100,83.7,2021,Netherlands
64,"University of California, Davis United States","36,395",13.6,17%,58:42:00,68.9,60.5,66.2,81.9,50.4,66.9,2021,United States
65,Monash University Australia,"57,406",41.7,43%,57:43:00,68.9,52.9,61.7,86.2,73.9,90.3,2021,Australia
66,University of Amsterdam Netherlands,"24,747",12.8,24%,57:43:00,68.8,49.1,62.2,92.8,39.9,87.4,2021,Netherlands
67,U N S W Sydney Australia,"46,234",41,44%,47:53:00,68.2,50.9,62,85.3,66.8,94.7,2021,Australia
68,"University of California, Santa Barbara United States","24,780",28.2,18%,53:47:00,67.9,45.8,59.6,96.7,81.8,70,2021,United States
69,Mc Master University Canada,"25,285",30.5,18%,55:45:00,67.5,46.7,53.1,95.8,99.5,83.8,2021,Canada
70,Fudan University China,"32,597",11.2,13%,52:48:00,66.7,65.9,65.6,73.3,67.1,47.7,2021,China
71,Leiden University Netherlands,"30,178",19,18%,59:41:00,66.7,45.6,66,84.1,72.6,82.2,2021,Netherlands
72,Erasmus University Rotterdam Netherlands,"26,453",26.8,22%,50:50:00,66.2,37.9,57,97.6,73.6,87.8,2021,Netherlands
73,University of Montreal Canada,"36,774",20.2,21%,,65.6,51.1,52.6,87.4,78.3,84.3,2021,Canada
74,University of Zurich Switzerland,"22,960",14.8,21%,57:43:00,65.6,50.1,50.4,89.8,64.1,92.1,2021,Switzerland
75,Charité - Universitätsmedizin Berlin Germany,"7,431",17.4,20%,65:35:00,65.4,48.3,48,97.4,92.1,66.6,2021,Germany
76,Utrecht University Netherlands,"32,022",14,10%,58:42:00,65.4,43,61.1,89.9,65.7,74.1,2021,Netherlands
77,University of Warwick United Kingdom,"21,777",13.3,41%,49:51:00,65.3,46.7,53.8,90.1,41.6,94,2021,United Kingdom
78,Delft University of Technology Netherlands,"19,594",17.4,31%,30 : 70,65.2,54.4,71.6,60,98.9,92.8,2021,Netherlands
79,University of Tübingen Germany,"27,590",36.6,14%,58:42:00,65.2,53.3,59.7,81.9,77.1,64.3,2021,Germany
80,University of Groningen Netherlands,"28,392",23.9,23%,51:49:00,65.1,41.2,56.2,92.6,69.8,85.1,2021,Netherlands
81,Humboldt University of Berlin Germany,"33,388",56.3,18%,,65.1,60.6,67.8,68.3,37.6,68.3,2021,Germany
82,Ohio State University ( Main campus) United States,"54,650",12.1,13%,50:50:00,65.1,55.6,54.2,87.9,53.3,60.1,2021,United States
83,University of Freiburg Germany,"14,878",32.5,21%,54:46:00,64.7,48.4,52.2,87.3,100,77.8,2021,Germany
84,University of Copenhagen Denmark,"30,746",4.2,17%,62:38:00,63.8,49.3,47.3,90.4,50.5,86.4,2021,Denmark
85,Emory University United States,"12,923",4,20%,59:41:00,63.7,53.9,41.1,98.7,46.7,59.2,2021,United States
86,University of Minnesota United States,"61,994",12.4,11%,53:47:00,63.7,55.1,59,81.4,80.3,40.7,2021,United States
87,École Polytechnique France,"2,850",5.6,44%,1.011805556,63.4,60.5,52.4,68.2,72.1,96.1,2021,France
88,University of Science and Technology of China China,"16,434",7.2,5%,,63.4,64,60.4,72.3,75.2,33,2021,China
89,Sorbonne University France,"43,585",12.8,20%,58:42:00,63.4,63.2,54.5,73.5,36.9,68.5,2021,France
90,"University of Maryland, College Park United States","33,671",16.6,11%,48:52:00,63.1,47.4,58.8,90.2,38.9,42.9,2021,United States
91,University of Bristol United Kingdom,"22,981",14.5,28%,55:45:00,63,40.3,48.6,95.6,39.8,88.2,2021,United Kingdom
92,University of Basel Switzerland,"9,229",12.3,30%,55:45:00,62.9,44,41.4,91.7,99.7,97.2,2021,Switzerland
93,University of Glasgow United Kingdom,"26,533",14.7,38%,59:41:00,62.9,40.9,48.1,94.3,39.9,92.8,2021,United Kingdom
94,Purdue University West Lafayette United States,"41,573",16.3,22%,43:57:00,62.5,57.1,65.5,62,69.9,71.5,2021,United States
95,Zhejiang University China,"33,825",10.8,23%,1.011805556,62.5,65.9,65.6,52.3,100,65.1,2021,China
96,Korea Advanced Institute of Science and Technology ( K A I S T) South Korea,"9,514",10.4,9%,0.888888889,62.4,64.4,68.1,57.9,100,36.6,2021,South Korea
97,National Taiwan University ( N T U) Taiwan,"24,880",9.9,12%,43:57:00,62.3,57.1,66.7,66.9,69.5,44.8,2021,Taiwan
98,"University of California, Irvine United States","35,040",17.5,27%,52:48:00,62.1,43.5,47.5,93.5,53.2,72.4,2021,United States
99,University of Helsinki Finland,"22,137",15.9,5%,66:34:00,62.1,42.7,58.3,88.9,37,56.1,2021,Finland
100,Shanghai Jiao Tong University China,"38,556",11.9,11%,39 : 61,61.8,60.8,70,53.7,100,52,2021,China
101,Dartmouth College United States,"6,336",7.6,15%,48:52:00,61.7,57.8,39.2,95.3,37.8,40.7,2021,United States
102,Sungkyunkwan University ( S K K U) South Korea,"23,340",19.5,18%,43:57:00,61.7,55.7,60.3,67.8,98.1,55,2021,South Korea
103,Ghent University Belgium,"37,587",36.1,11%,56:44:00,61.6,46.6,57.4,79.6,79.9,60.7,2021,Belgium
104,Lund University Sweden,"27,443",11.3,19%,55:45:00,61.6,39.4,54.5,85.5,79,77,2021,Sweden
105,Michigan State University United States,"44,618",16.1,15%,51:49:00,61.5,53.1,55.1,77.9,36.4,63.6,2021,United States
106,Aarhus University Denmark,"26,318",13.8,10%,55:45:00,61.4,36.9,56.4,86.2,71.3,76.6,2021,Denmark
107,University of Birmingham United Kingdom,"30,193",14.8,30%,57:43:00,61.3,40.3,45.5,92.6,40.1,90.2,2021,United Kingdom
108,R W T H Aachen University Germany,"45,256",58.4,23%,32 : 68,61.3,55.8,62.4,62.9,98,60.1,2021,Germany
109,University of Bern Switzerland,"11,417",16.8,16%,57:43:00,61.2,44.9,42.8,87.4,84.7,87.1,2021,Switzerland
110,Queen Mary University of London United Kingdom,"19,365",13.6,45%,55:45:00,61.1,34.9,43.6,97.4,41.5,96.8,2021,United Kingdom
111,Nanjing University China,"37,475",17.5,9%,49:51:00,61,52.4,54,75.2,91.3,56.3,2021,China
112,Uppsala University Sweden,"25,112",15.8,18%,58:42:00,61,39.2,55.3,84.8,72.4,72.2,2021,Sweden
113,Vanderbilt University United States,"12,139",3,15%,54:46:00,61,48.9,44.5,94.6,53.5,43.6,2021,United States
114,University of Bonn Germany,"37,439",70.2,13%,56:44:00,60.9,48.6,49.8,84.9,52.7,61.7,2021,Germany
115,Penn State ( Main campus) United States,"46,682",11,15%,47:53:00,60.9,52.6,58.8,76.9,36.9,46.9,2021,United States
116,Vrije Universiteit Amsterdam Netherlands,"25,443",18,13%,58:42:00,60.8,38.2,52.1,89.3,57.5,73.1,2021,Netherlands
117,University of Virginia ( Main campus) United States,"24,879",9,13%,52:48:00,60.6,52.1,43.3,90.7,41.9,50.2,2021,United States
118,University of Adelaide Australia,"21,054",30.7,29%,49:51:00,60.4,33.7,42.9,96,68.5,92.3,2021,Australia
119,Free University of Berlin Germany,"36,380",59.2,22%,59:41:00,60.4,56.8,64.4,58.4,42,73.3,2021,Germany
120,Georgetown University United States,"16,451",8.5,19%,55:45:00,60.1,54.5,33.8,94.7,65.7,47.2,2021,United States
121,Case Western Reserve University United States,"10,774",9.1,23%,50:50:00,60,47.3,41,95,40.7,53.5,2021,United States
122,Maastricht University Netherlands,"17,326",18.4,54%,60:40:00,60,39.9,49.1,79.7,82.1,98,2021,Netherlands
123,University of Sheffield United Kingdom,"26,765",15.5,35%,52:48:00,60,45,47.4,81.8,46.5,87.7,2021,United Kingdom
124,University of Arizona United States,"39,635",18,9%,52:48:00,59.8,47.6,51.7,85.6,50.3,40.4,2021,United States
125,Rice University United States,"6,805",9.2,28%,42:58:00,59.8,48,38.4,89.9,42.9,77.3,2021,United States
126,City University of Hong Kong Hong Kong,"9,510",10.8,51%,54:46:00,59.7,44.1,47.2,78.6,50.3,99.8,2021,Hong Kong
127,University of Oslo Norway,"20,737",12.2,17%,62:38:00,59.4,39.5,44.2,91.5,40.4,78.1,2021,Norway
128,University of Southampton United Kingdom,"23,498",14.3,35%,53:47:00,59.4,39.4,42.5,89,41.2,94.5,2021,United Kingdom
129,Hong Kong Polytechnic University Hong Kong,"22,778",25.4,27%,51:49:00,59.1,41.1,47.5,81,41.7,96.1,2021,Hong Kong
130,University of Göttingen Germany,"30,894",28,13%,51:49:00,59,47.6,48.5,82.1,36.4,61.8,2021,Germany
131,University of Alberta Canada,"32,846",21.5,27%,55:45:00,58.9,46.4,50.4,72.4,60,88.2,2021,Canada
132,University of Colorado Boulder United States,"34,481",16.1,11%,44:56:00,58.9,43.8,45.9,91.3,42,47.5,2021,United States
133,University of Pittsburgh- Pittsburgh campus United States,"26,761",5.7,11%,53:47:00,58.8,45.5,42.8,93.9,40.6,41.7,2021,United States
134,University of York United Kingdom,"16,881",15,25%,57:43:00,58.8,39,44.8,87.9,35.2,86,2021,United Kingdom
135,University of Hamburg Germany,"30,649",58.7,12%,57:43:00,58.6,45,53.9,74.1,93.7,58.7,2021,Germany
136,Lancaster University United Kingdom,"13,047",12.4,37%,51:49:00,58.4,36.8,40.5,90.9,35.2,94.6,2021,United Kingdom
137,Université de Paris France,"63,219",17.7,18%,64:36:00,58.4,50.8,38.2,86.3,33.3,66.4,2021,France
138,Radboud University Nijmegen Netherlands,"20,752",17.3,16%,57:43:00,58.4,33.7,50,88.6,48,73.9,2021,Netherlands
139,The University of Western Australia Australia,"18,253",22.5,29%,48:52:00,58.3,32.4,43.1,90.4,59.1,94.6,2021,Australia
140,Indiana University United States,"67,054",15,15%,51:49:00,58.2,49.8,48.8,77.8,51.7,53.6,2021,United States
141,University of Mannheim Germany,"10,593",78.3,18%,,58.2,41.4,49.7,82.7,58.8,60.6,2021,Germany
142,Technical University of Berlin Germany,"22,695",60.8,26%,34 : 66,58.2,51.2,55.9,62.3,93.9,66.9,2021,Germany
143,Ulm University Germany,"10,503",28.4,13%,49:51:00,58.2,40,37.9,94.9,82,57.4,2021,Germany
144,University of Würzburg Germany,"23,887",38.2,10%,56:44:00,58.2,39.3,43,90.5,70.2,61.5,2021,Germany
145,University of Cologne Germany,"34,630",35,18%,,58,42.9,44.8,81.6,79.6,69.6,2021,Germany
146,University of Ottawa Canada,"35,140",24.6,20%,58:42:00,58,41.1,41.3,87.1,46,79.9,2021,Canada
147,University of Auckland New Zealand,"32,596",22.6,31%,56:44:00,57.8,30.6,44.8,87.5,75.4,94.5,2021,New Zealand
148,University of Rochester United States,"10,017",4.9,34%,49:51:00,57.8,45.4,35.2,91.2,41.4,69.8,2021,United States
149,Durham University United Kingdom,"17,090",15.2,31%,55:45:00,57.6,44.8,49.7,71.2,37.3,92.7,2021,United Kingdom
150,University of Geneva Switzerland,"17,271",16,38%,61:39:00,57.6,35.2,45.4,80.6,72.8,98.3,2021,Switzerland
151,Pohang University of Science and Technology ( P O S T E C H) South Korea,"3,034",9.7,3%,24 : 76,57.5,53.8,51.5,70.4,97.9,30.7,2021,South Korea
152,University of Florida United States,"46,632",16.1,9%,56:44:00,57.4,54.2,60.4,61.9,56.1,40.5,2021,United States
153,Pompeu Fabra University Spain,"11,914",22.9,13%,60:40:00,57.4,36.9,39.9,93.8,50.9,65.8,2021,Spain
154,T U Dresden Germany,"31,103",32.9,15%,43:57:00,57.4,47.2,48.6,73.1,96.7,57.6,2021,Germany
155,University of Cape Town South Africa,"21,647",11.7,17%,54:46:00,57.3,30.1,42.1,90.9,89,81.6,2021,South Africa
156,Trinity College Dublin Ireland,"17,154",21.4,32%,59:41:00,57.3,40.5,44.4,78.3,50.7,94.8,2021,Ireland
157,Tufts University United States,"11,024",9.7,16%,55:45:00,57.3,46.7,33,95.5,38.5,50,2021,United States
158,Bielefeld University Germany,"24,890",71.5,8%,57:43:00,56.9,34.4,42.7,94.8,66.5,48.3,2021,Germany
159,University of Nottingham United Kingdom,"30,798",15,29%,54:46:00,56.9,42,42.4,80,38.7,87.8,2021,United Kingdom
160,University of Leeds United Kingdom,"31,461",14.3,30%,60:40:00,56.8,43.2,46.2,74.7,38.5,88.5,2021,United Kingdom
161,University of Sussex United Kingdom,"16,259",15.8,37%,55:45:00,56.8,32.7,38.1,92.3,35.1,93.9,2021,United Kingdom
162,University of Technology Sydney Australia,"26,529",41.7,36%,51:49:00,56.8,35.3,44.3,81.1,53.7,97,2021,Australia
163,University of Liverpool United Kingdom,"25,168",14.6,33%,55:45:00,56.7,35.2,38.1,89.5,37.9,92.6,2021,United Kingdom
164,Université Catholique de Louvain Belgium,"26,462",39.7,20%,53:47:00,56.5,38.1,51.5,73.7,57.9,80.5,2021,Belgium
165,University of Vienna Austria,"32,650",38.5,28%,65:35:00,56.5,46.1,56.4,59.1,36.3,94.6,2021,Austria
166,"Rutgers, the State University of New Jersey United States","44,264",11,17%,52:48:00,56.4,47.3,48.5,75.8,40.4,52.5,2021,United States
167,University of Bologna Italy,"67,298",24.4,12%,56:44:00,56.3,50.8,36.6,83.6,44.1,51.6,2021,Italy
168,Korea University South Korea,"22,666",16.6,22%,,56.3,48.7,50.1,67.6,96.2,53.4,2021,South Korea
169,University of Alabama at Birmingham United States,"18,211",17.3,6%,63:37:00,56.2,38.4,35.5,97.4,78.6,38.4,2021,United States
170,University of Antwerp Belgium,"15,272",31.2,17%,55:45:00,56,35.3,46,80.7,83,70,2021,Belgium
171,University of Leicester United Kingdom,"15,551",14.7,32%,53:47:00,56,30.9,33.6,96.2,37.6,90.7,2021,United Kingdom
172,University of Notre Dame United States,"12,149",10.9,12%,46:54:00,56,52.1,45.5,71.5,38.1,57.3,2021,United States
173,Sant’ Anna School of Advanced Studies – Pisa Italy,661,10,20%,36 : 64,56,45.8,39.6,79.9,85.9,57.2,2021,Italy
174,University of Exeter United Kingdom,"22,007",17,28%,54:46:00,55.9,32.4,38.3,89.9,35.8,91.5,2021,United Kingdom
175,Lomonosov Moscow State University Russian Federation,"28,525",8.4,32%,52:48:00,55.9,80,67.6,12.9,97.7,70.7,2021,Russian Federation
176,Northeastern University United States,"20,711",14.1,36%,48:52:00,55.8,36.7,29.1,98.2,36.5,76,2021,United States
177,Ulsan National Institute of Science and Technology ( U N I S T) South Korea,"3,983",14.3,8%,27 : 73,55.8,34.9,40.7,90.8,85.3,49.1,2021,South Korea
178,University of Aberdeen United Kingdom,"12,863",16.6,42%,57:43:00,55.7,29.5,34.2,94.4,45.1,95.6,2021,United Kingdom
179,Newcastle University United Kingdom,"24,089",14.6,27%,51:49:00,55.7,31.4,38.2,90.6,40.1,88,2021,United Kingdom
180,Paris- Saclay University France,"28,618",14.6,16%,55:45:00,55.7,37.3,48.7,80.4,34.5,65.1,2021,France
181,Scuola Normale Superiore di Pisa Italy,557,6.7,11%,29 : 71,55.6,55.6,36.3,77.2,34.2,53.5,2021,Italy
182,Autonomous University of Barcelona Spain,"31,284",12.5,17%,59:41:00,55.5,34.7,38.3,91.9,42.1,65.6,2021,Spain
183,Stockholm University Sweden,"27,200",19.1,10%,,55.3,31.6,49.2,82.5,35.7,71.4,2021,Sweden
184,Arizona State University ( Tempe) United States,"45,827",19.7,20%,43:57:00,55.2,38.2,47.8,79.1,37.1,62.8,2021,United States
185,University of Canberra Australia,"10,304",37.4,35%,,55.2,25.5,32.9,99.7,41.2,89.8,2021,Australia
186,Queensland University of Technology Australia,"35,555",42,17%,53:47:00,55.1,31.7,37.4,89.4,53.5,83.2,2021,Australia
187,Eindhoven University of Technology Netherlands,"9,469",21.3,23%,,54.9,46.5,49.7,57.9,99.8,82.3,2021,Netherlands
188,George Washington University United States,"23,788",13.4,17%,60:40:00,54.9,46.9,33.3,85.8,34.4,55.9,2021,United States
189,Technical University of Denmark Denmark,"9,412",6.7,25%,31 : 69,54.9,39.8,41.2,72.4,78.4,92.7,2021,Denmark
190,Yonsei University ( Seoul campus) South Korea,"17,745",14.7,22%,48:52:00,54.9,52.2,53.7,54,99.5,58.6,2021,South Korea
191,Cardiff University United Kingdom,"25,898",14.1,28%,59:41:00,54.7,32.4,35.6,89.4,36.7,86.8,2021,United Kingdom
192,University of Gothenburg Sweden,"19,616",9.8,13%,,54.7,27.7,40.8,94,39.4,66.2,2021,Sweden
193,University of Lausanne Switzerland,"12,685",8.8,24%,,54.7,33.1,44.1,76.1,71.3,92.6,2021,Switzerland
194,Tel Aviv University Israel,"22,635",22.3,7%,56:44:00,54.7,40.1,52,73,41.1,56.2,2021,Israel
195,Macquarie University Australia,"29,835",65.5,29%,53:47:00,54.6,38.5,43.1,73.7,58.6,87.1,2021,Australia
196,University of Münster Germany,"44,580",42.9,8%,,54.6,39.2,43.8,82.5,47,49.5,2021,Germany
197,Texas A& M University United States,"62,070",24.4,8%,47:53:00,54.5,47.4,51.6,64.8,44.9,56.1,2021,United States
198,University of Barcelona Spain,"45,494",15,11%,62:38:00,54.4,31,40.2,91.5,45.9,58.6,2021,Spain
199,University of Erlangen- Nuremberg Germany,"38,052",57.3,12%,49:51:00,54.4,41.6,46.2,72.6,88.4,53.8,2021,Germany
200,University of Calgary Canada,"31,863",17.6,21%,54:46:00,54.3,33.7,36.1,87,51.3,80.2,2021,Canada
201,University of East Anglia United Kingdom,"15,757",13.8,27%,59:41:00,54.3,27.8,31.4,97.1,34.5,87.9,2021,United Kingdom
202,Queen’s University Belfast United Kingdom,"18,438",17.2,36%,56:44:00,54.3,31.5,38.1,84,38.4,96.7,2021,United Kingdom
203,Aalborg University Denmark,"16,227",13.4,14%,,50.6–54.2,27.6,38.6,85.6,49.1,74.5,2021,Denmark
204,Aalto University Finland,"12,506",18.6,24%,37 : 63,50.6–54.2,39.8,38.8,70.7,50,82.7,2021,Finland
205,University of Bath United Kingdom,"14,410",16.2,33%,46:54:00,50.6–54.2,30,32.2,80.5,36.5,91.8,2021,United Kingdom
206,University of Bergen Norway,"14,297",12.4,13%,60:40:00,50.6–54.2,28.3,29,94.4,36.3,78.3,2021,Norway
207,Brandeis University United States,"5,346",12.7,27%,58:42:00,50.6–54.2,28.1,24.4,99.9,34.7,55.8,2021,United States
208,"University of California, Santa Cruz United States","19,457",23.8,12%,49:51:00,50.6–54.2,31.4,31.9,96.2,38.9,63.6,2021,United States
209,Chalmers University of Technology Sweden,"8,325",11.9,17%,32 : 68,50.6–54.2,38.8,42.6,61.6,78.9,84,2021,Sweden
210,Copenhagen Business School Denmark,"16,312",30.7,25%,48:52:00,50.6–54.2,25.7,33.1,86.2,42.4,93.3,2021,Denmark
211,Curtin University Australia,"30,130",20.5,32%,52:48:00,50.6–54.2,24.1,30.5,86.9,42.1,95,2021,Australia
212,University of Duisburg- Essen Germany,"42,744",53.6,19%,48:52:00,50.6–54.2,31.8,33.6,91.5,70.4,60.4,2021,Germany
213,University of Dundee United Kingdom,"12,247",17.5,22%,63:37:00,50.6–54.2,23.9,32.1,91.5,49.3,80.9,2021,United Kingdom
214,Griffith University Australia,"33,645",28.6,17%,58:42:00,50.6–54.2,26.7,35.3,85.6,48,82.2,2021,Australia
215,University of Hawai’i at Mānoa United States,"14,732",10.6,10%,57:43:00,50.6–54.2,37,39.3,72.3,52.5,65.5,2021,United States
216,Hebrew University of Jerusalem Israel,"16,105",11.9,5%,57:43:00,50.6–54.2,45.6,45,61.3,42.6,60.5,2021,Israel
217,University of Hohenheim Germany,"9,235",42.5,15%,57:43:00,50.6–54.2,33.8,31.1,96.4,50.8,55.8,2021,Germany
218,Howard University United States,"8,766",9.3,8%,67:33:00,50.6–54.2,43.9,17,99.5,33.3,35,2021,United States
219,University of Iowa United States,"29,406",11.6,10%,53:47:00,50.6–54.2,42.3,30.2,80.6,50.6,46.1,2021,United States
220,James Cook University Australia,"11,198",21,11%,64:36:00,50.6–54.2,22.7,28.9,94.2,45.3,76.4,2021,Australia
221,Karlsruhe Institute of Technology Germany,"26,886",27.9,23%,28 : 72,50.6–54.2,45.4,49.4,60,94.6,71.2,2021,Germany
222,King Abdulaziz University Saudi Arabia,"31,869",7.8,22%,54:46:00,50.6–54.2,30.6,16,95.2,77.7,93.4,2021,Saudi Arabia
223,K T H Royal Institute of Technology Sweden,"13,482",16.5,20%,33 : 67,50.6–54.2,41.3,44.1,58,51,88.7,2021,Sweden
224,La Trobe University Australia,"22,303",31.9,30%,64:36:00,50.6–54.2,27.9,34.6,82.7,50,86.7,2021,Australia
225,Université Libre de Bruxelles Belgium,"24,157",42.1,31%,56:44:00,50.6–54.2,32.1,42.6,76.2,42.6,88.8,2021,Belgium
226,University of Luxembourg Luxembourg,"4,858",19,51%,52:48:00,50.6–54.2,35.7,35,73.2,45.2,99.6,2021,Luxembourg
227,University of Massachusetts United States,"61,958",13.3,15%,48:52:00,50.6–54.2,37.3,32,88.3,50.7,64.1,2021,United States
228,Medical University of Graz Austria,"3,541",12.1,25%,52:48:00,50.6–54.2,29.8,27.3,95.1,62.6,76,2021,Austria
229,Medical University of Innsbruck Austria,"3,080",11,44%,52:48:00,50.6–54.2,31,26.3,92.3,86.9,87,2021,Austria
230,Medical University of Vienna Austria,"7,466",8.8,30%,52:48:00,50.6–54.2,33.4,25.4,92.2,57.8,79.2,2021,Austria
231,University of Miami United States,"16,179",6.3,16%,52:48:00,50.6–54.2,45.1,25,81.4,40.5,60.6,2021,United States
